name,place_type,description,lon,lat
Neptunbrunnen,fountain,Grosser Brunnen am Rathaus mit Wasserflaeche und Sitzstufen,13.4064,52.5195
Weltzeituhr Brunnen,fountain,Wasserspiel am Alexanderplatz,13.4133,52.5215
Volkspark Friedrichshain,park,Grosser Park mit dichtem Baumbestand,13.4325,52.5275
Monbijoupark,park,Park an der Spree mit Schatten und Wasser,13.3960,52.5235
Lustgarten,park,Rasenflaeche mit Springbrunnen an der Museumsinsel,13.3985,52.5185
James-Simon-Park,park,Uferpark an der Spree,13.4020,52.5225
Alexanderplatz Trinkbrunnen,fountain,Oeffentlicher Trinkwasserbrunnen der Berliner Wasserbetriebe,13.4118,52.5222
Karl-Marx-Allee Baumallee,shade,Beschattete Allee mit Baumreihen,13.4270,52.5205
Rotes Rathaus Innenhof,shade,Beschatteter Innenhof,13.4085,52.5175
Berliner Dom Umgebung,shade,Schattenbereiche am Lustgarten,13.4010,52.5190
Bibliothek am Alexanderplatz,indoor,Oeffentlich zugaenglicher Innenraum,13.4145,52.5238
Galeria Kaufhof,indoor,Klimatisiertes Kaufhaus am Alexanderplatz,13.4128,52.5205
Spreeufer Jannowitzbruecke,water,Uferbereich an der Spree,13.4185,52.5145
Koppenplatz,park,Kleiner Nachbarschaftspark mit Baeumen,13.3985,52.5285
Hackescher Markt Gruenflaeche,shade,Kleine beschattete Flaeche,13.4025,52.5245
